latitude,longitude,beds,week_price,neighbourhood_cleansed,zipcode
37.75017197,-122.41734,1,7,Mission,94110
37.74936883,-122.4223664,1,7,Mission,94110
37.7660067,-122.4183305,1,7,Mission,
37.74866918,-122.4213935,2,14,Mission,94110
37.76864954,-122.42457,2,14,Mission,94103
37.76601194,-122.4229685,1,7,Mission,94103
37.75845746,-122.4086654,2,14,Mission,94110
37.757922,-122.4141182,3,21,Mission,94110
37.75877365,-122.4108145,1,7,Mission,94110
37.74979106,-122.4087655,1,7,Mission,94110
37.76573017,-122.4209976,1,7,Mission,94103
37.76058002,-122.4254066,1,7,Mission,94110
37.7673056,-122.4254201,1,7,Mission,94103
37.75884751,-122.4059452,1,7,Mission,94110
37.76845419,-122.4216172,2,14,Mission,94103
37.75696962,-122.4076487,1,7,Mission,94110
37.74847017,-122.417238,2,14,Mission,94110
37.75597989,-122.4152521,1,7,Mission,94110
37.77037944,-122.4222524,1,7,Mission,94103
37.76725835,-122.4223948,1,7,Mission,94103
37.76006538,-122.4186564,1,7,Mission,94110
37.75454377,-122.4111001,1,7,Mission,94110
37.75469124,-122.4226532,5,35,Mission,94110
37.75239589,-122.4129407,1,7,Mission,94110
37.7674576,-122.4232362,1,7,Mission,94103
37.75796429,-122.4197255,2,14,Mission,94110
37.75495392,-122.4168309,1,7,Mission,94110
37.76400671,-122.4175282,3,21,Mission,94110
37.74991628,-122.4082173,1,7,Mission,94110
37.75243517,-122.4152028,1,7,Mission,94110
37.75219564,-122.4170061,3,21,Mission,94110
37.75465229,-122.4101758,2,14,Mission,94110
37.75767012,-122.4174079,1,7,Mission,94110
37.75742313,-122.4236494,1,7,Mission,94114
37.76374505,-122.4124976,2,14,Mission,94110
37.75750508,-122.4235015,,0,Mission,94110
37.76173049,-122.4256579,2,14,Mission,94110
37.75522798,-122.4179171,1,7,Mission,94110
37.75886312,-122.423116,4,28,Mission,94110
37.75631937,-122.404779,2,14,Mission,94110
37.74852106,-122.4212581,1,7,Mission,94110
37.75574133,-122.4115589,2,14,Mission,94110
37.76012321,-122.4250197,1,7,Mission,94110
37.75300435,-122.403943,1,7,Mission,94110
37.75298744,-122.4242477,1,7,Mission,94110
37.77002888,-122.4237134,1,7,Mission,94103
37.75112586,-122.4230647,3,21,Mission,94110
37.75498191,-122.4193609,1,7,Mission,94110
37.75992683,-122.408211,3,21,Mission,94110
37.74905921,-122.4182666,4,28,Mission,94110
37.7690889,-122.4239827,1,7,Mission,94103
37.75695181,-122.4116516,2,14,Mission,94110
37.75300727,-122.4040496,3,21,Mission,94110
37.75646678,-122.4164391,3,21,Mission,94110
37.75349384,-122.4195855,4,28,Mission,94110
37.75317766,-122.4244942,1,7,Mission,94110
37.76052871,-122.4090437,2,14,Mission,94110
37.76108383,-122.425571,1,7,Mission,94110
37.76848691,-122.4206638,1,7,Mission,94103
37.74981207,-122.4150952,1,7,Mission,94110
37.75769932,-122.4200553,1,7,Mission,94110
37.75781911,-122.4108124,1,7,Mission,94110
37.75603488,-122.4112037,1,7,Mission,94110
37.76673598,-122.4240911,1,7,Mission,94103
37.74947188,-122.4185612,1,7,Mission,94110
37.74923178,-122.4190466,1,7,Mission,94110
37.76117256,-122.4190939,1,7,Mission,94110
37.7572341,-122.4150385,4,28,Mission,94110
37.76873486,-122.4245731,1,7,Mission,94103
37.76952227,-122.4228934,1,7,Mission,94103
37.75123663,-122.4104629,3,21,Mission,94110
37.75862868,-122.4117893,1,7,Mission,94110
37.76485673,-122.4251007,2,14,Mission,94103
37.74961855,-122.4209382,1,7,Mission,94110
37.76867917,-122.4225395,1,7,Mission,94103
37.76740115,-122.4224661,1,7,Mission,94103
37.75186531,-122.4194602,1,7,Mission,94110
37.76097556,-122.4215808,2,14,Mission,94110
37.7615163,-122.4082127,1,7,Mission,94110
37.76215982,-122.420623,1,7,Mission,94110
37.75040546,-122.4110787,3,21,Mission,94110
37.75783386,-122.4130874,1,7,Mission,94110
37.75908236,-122.418195,1,7,Mission,94110
37.75958899,-122.4218546,3,21,Mission,94110
37.7532297,-122.4248993,2,14,Mission,94110
37.75121152,-122.4077631,1,7,Mission,94110
37.76277859,-122.4240051,1,7,Mission,94110
37.7501035,-122.414981,1,7,Mission,94110
37.75136488,-122.4089685,1,7,Mission,94110
37.76070044,-122.4076222,1,7,Mission,94110
37.75374293,-122.4034303,1,7,Mission,94110
37.76443752,-122.4074289,1,7,Mission,94103
37.76724432,-122.4212892,1,7,Mission,94103
37.76151096,-122.4220454,1,7,Mission,94110
37.76490477,-122.4239036,1,7,Mission,94103
37.75023463,-122.4149721,1,7,Mission,94110
37.75874295,-122.413272,3,21,Mission,94110
37.7615991,-122.4216489,3,21,Mission,94110
37.76539394,-122.4183993,1,7,Mission,94103
37.77142456,-122.4234505,5,35,Mission,94103
37.75967033,-122.4147865,3,21,Mission,94110
37.76207429,-122.4063294,3,21,Mission,94107
37.75756728,-122.4193947,1,7,Mission,94110
37.76847404,-122.4251584,1,7,Mission,94103
37.75975848,-122.4071105,3,21,Mission,94110
37.75986511,-122.41754,1,7,Mission,94110
37.75862522,-122.4196387,1,7,Mission,94110
37.77109003,-122.4240191,2,14,Mission,94103
37.75708418,-122.4080119,2,14,Mission,94110
37.7615023,-122.4211684,2,14,Mission,94110
37.76456493,-122.4138323,1,7,Mission,94103
37.76317552,-122.4070776,1,7,Mission,94107
37.75570083,-122.4232314,2,14,Mission,94110
37.7487178,-122.4199096,2,14,Mission,94110
37.75608406,-122.4225961,1,7,Mission,94110
37.76174179,-122.4175331,1,7,Mission,94110
37.75523738,-122.4219086,2,14,Mission,94110
37.76239584,-122.4065616,1,7,Mission,94110
37.75813893,-122.4143756,2,14,Mission,94110
37.75753408,-122.410455,2,14,Mission,94110
37.7666713,-122.4239593,3,21,Mission,94103
37.76602128,-122.4165001,1,7,Mission,94103
37.75503446,-122.4190692,1,7,Mission,94110
37.7623101,-122.4197122,1,7,Mission,94110
37.74946151,-122.4091694,2,14,Mission,94110
37.76299792,-122.4217049,1,7,Mission,94110
37.75249635,-122.4099389,1,7,Mission,94110
37.76450813,-122.4164842,1,7,Mission,94110
37.75420874,-122.4177143,1,7,Mission,94110
37.76720776,-122.4171204,4,28,Mission,94103
37.75171999,-122.4138625,3,21,Mission,94110
37.75559219,-122.4227863,2,14,Mission,94110
37.75228981,-122.4159339,1,7,Mission,94110
37.76028596,-122.4234149,1,7,Mission,94110
37.76649136,-122.4065846,1,7,Mission,94103
37.7656085,-122.4200594,3,21,Mission,94103
37.75135009,-122.4235024,1,7,Mission,94110
37.75315747,-122.4051128,3,21,Mission,94110
37.75043561,-122.413185,1,7,Mission,94110
37.76635223,-122.4211437,2,14,Mission,94103
37.75658265,-122.4169822,2,14,Mission,94110
37.76766368,-122.424679,1,7,Mission,94103
37.75701828,-122.4212952,1,7,Mission,94110
37.75924925,-122.4230581,3,21,Mission,94110
37.76264179,-122.4199421,1,7,Mission,94110
37.76235785,-122.4238459,4,28,Mission,94110
37.76164834,-122.4205553,2,14,Mission,94110
37.76563516,-122.4174603,1,7,Mission,94103
37.75162534,-122.4177249,1,7,Mission,94110
37.76249149,-122.4202518,1,7,Mission,94110
37.76746906,-122.4241287,1,7,Mission,94103
37.76654759,-122.4225179,1,7,Mission,94103
37.76933455,-122.4226493,1,7,Mission,94103
37.75522009,-122.4154076,1,7,Mission,94110
37.74880339,-122.4210351,1,7,Mission,94110
37.76742485,-122.423743,1,7,Mission,94110
37.75347337,-122.4193957,3,21,Mission,94110
37.7568687,-122.4146032,1,7,Mission,94110
37.75366029,-122.4228086,4,28,Mission,94110
37.75945121,-122.4233564,2,14,Mission,94110
37.7611278,-122.4221764,2,14,Mission,94110
37.76130382,-122.4087676,1,7,Mission,94110
37.75072511,-122.4149275,1,7,Mission,94110
37.76514597,-122.4160758,1,7,Mission,94103
37.75029025,-122.4215714,1,7,Mission,94110
37.75446574,-122.4209953,1,7,Mission,94110
37.75206557,-122.4220245,1,7,Mission,94110
37.76346934,-122.4237031,2,14,Mission,94110
37.74994293,-122.4172164,2,14,Mission,94110
37.76521165,-122.4165293,1,7,Mission,94103
37.75015862,-122.4128977,1,7,Mission,94110
37.75742589,-122.4085392,2,14,Mission,94110
37.76051646,-122.4096362,3,21,Mission,94110
37.76728815,-122.4156191,1,7,Mission,94103
37.7567545,-122.4092142,1,7,Mission,94110
37.76891477,-122.4179894,1,7,Mission,94103
37.75912096,-122.4243675,2,14,Mission,94110
37.76557474,-122.426239,1,7,Mission,94103
37.76998771,-122.4226806,2,14,Mission,94103
37.75284831,-122.4215144,1,7,Mission,94110
37.76222242,-122.4078375,2,14,Mission,94110
37.75649047,-122.4255064,1,7,Mission,94110
37.76200238,-122.4205167,1,7,Mission,94110
37.7552773,-122.4104774,3,21,Mission,94110
37.76992689,-122.4228783,1,7,Mission,94103
37.76094674,-122.4209833,1,7,Mission,94110
37.76010961,-122.4185262,2,14,Mission,94110
37.74874493,-122.4182491,2,14,Mission,94110
37.75412286,-122.4062341,1,7,Mission,94110
37.75304967,-122.4117532,1,7,Mission,94110
37.75548251,-122.4252203,1,7,Mission,94114
37.76760458,-122.4189063,1,7,Mission,94103
37.76066624,-122.4246374,2,14,Mission,94110
37.75514538,-122.4196644,1,7,Mission,94110
37.7701263,-122.4216067,1,7,Mission,94103
37.76513014,-122.4241644,1,7,Mission,94103
37.77082415,-122.4228335,1,7,Mission,94103
37.75570344,-122.4115061,4,28,Mission,94110
37.75356104,-122.4107865,1,7,Mission,94110
37.76830528,-122.420741,1,7,Mission,94103
37.75279882,-122.4166892,1,7,Mission,94110
37.74994308,-122.4164356,2,14,Mission,94110
37.75114043,-122.4078588,1,7,Mission,94110
37.76098575,-122.4218298,1,7,Mission,94110
37.75717107,-122.409813,1,7,Mission,94110
37.75610669,-122.4186619,2,14,Mission,94110
37.76510651,-122.4064693,1,7,Mission,94103
37.75368076,-122.4205052,1,7,Mission,94110
37.75192025,-122.4136513,2,14,Mission,94110
37.75176801,-122.4154344,1,7,Mission,94110
37.75762489,-122.4193257,1,7,Mission,94110
37.75776588,-122.4195127,1,7,Mission,94110
37.75628493,-122.4234923,1,7,Mission,94110
37.75629056,-122.4251775,3,21,Mission,94110
37.76789362,-122.4200106,1,7,Mission,94103
37.75815049,-122.4209271,1,7,Mission,94110
37.75870508,-122.4092541,2,14,Mission,94110
37.75362764,-122.4240429,1,7,Mission,94110
37.7531555,-122.4212498,2,14,Mission,94110
37.75195465,-122.423666,2,14,Mission,94110
37.75277277,-122.4150602,1,7,Mission,94110
37.7508266,-122.4107258,1,7,Mission,94110
37.76845124,-122.422279,1,7,Mission,94103
37.76312154,-122.4258955,1,7,Mission,94114
37.75397923,-122.4120546,1,7,Mission,94110
