beds,price,number_of_reviews
1,100.00,0
1,79.00,0
2,95.00,2
4,499.00,16
1,185.00,34
5,575.00,0
2,165.00,5
4,1500.00,0
2,285.00,11
2,214.00,65
1,150.00,2
1,295.00,4
3,202.00,4
1,70.00,12
1,95.00,2
1,140.00,16
3,220.00,10
2,690.00,0
2,300.00,23
1,100.00,12
1,115.00,14
1,84.00,20
1,150.00,1
2,285.00,106
3,425.00,92
3,1200.00,9
3,350.00,2
1,169.00,120
2,195.00,6
1,95.00,1
1,149.00,87
1,172.00,51
1,190.00,5
1,100.00,2
2,290.00,36
1,100.00,11
2,249.00,2
1,95.00,1
1,75.00,14
1,80.00,2
4,1400.00,2
2,195.00,18
1,120.00,2
1,90.00,5
2,175.00,101
2,210.00,27
2,130.00,6
1,200.00,45
1,69.00,1
3,450.00,9
2,160.00,14
1,135.00,7
1,160.00,32
2,250.00,10
1,95.00,47
2,200.00,2
1,90.00,1
2,350.00,5
1,110.00,44
1,125.00,0
2,215.00,12
1,110.00,9
2,462.00,0
1,122.00,43
1,147.00,21
1,150.00,23
1,109.00,1
1,120.00,21
1,169.00,79
1,70.00,15
1,52.00,1
3,175.00,1
5,500.00,0
1,107.00,30
1,90.00,0
1,145.00,33
1,72.00,1
2,350.00,23
1,140.00,1
2,800.00,1
3,1666.00,0
1,75.00,0
1,129.00,245
1,198.00,10
1,80.00,0
2,450.00,0
1,209.00,0
1,125.00,0
3,200.00,0
1,163.00,14
1,116.00,51
2,240.00,0
1,119.00,54
1,80.00,0
1,89.00,78
1,93.00,262
1,130.00,0
1,188.00,16
1,115.00,0
2,200.00,2
1,154.00,10
2,175.00,90
1,200.00,5
1,83.00,34
3,315.00,6
1,160.00,13
4,450.00,30
1,84.00,107
1,150.00,11
2,100.00,2
1,110.00,2
1,80.00,1
1,95.00,53
2,279.00,8
2,76.00,3
2,149.00,459
1,60.00,1
1,110.00,12
2,165.00,58
1,90.00,5
2,500.00,48
2,200.00,3
1,210.00,17
1,79.00,1
1,119.00,6
2,325.00,68
1,69.00,0
1,124.00,1
2,299.00,39
3,350.00,3
2,500.00,0
1,70.00,22
6,490.00,40
1,126.00,6
1,110.00,5
2,295.00,1
1,145.00,12
1,140.00,3
2,153.00,4
1,103.00,148
1,200.00,6
1,90.00,82
5,575.00,96
2,450.00,15
1,66.00,51
1,125.00,59
3,505.00,0
2,208.00,127
2,450.00,0
1,195.00,14
1,197.00,28
2,140.00,82
2,89.00,73
1,125.00,208
1,210.00,5
1,1500.00,0
2,225.00,16
1,125.00,205
2,180.00,71
1,82.00,0
3,600.00,6
2,350.00,61
4,450.00,0
1,300.00,0
1,100.00,5
1,115.00,169
4,449.00,3
1,108.00,246
2,205.00,6
1,75.00,2
2,95.00,6
2,350.00,1
1,75.00,11
1,69.00,111
2,190.00,47
3,275.00,1
1,190.00,12
4,230.00,0
1,109.00,47
2,225.00,33
1,129.00,8
2,170.00,11
1,200.00,26
3,350.00,33
1,139.00,16
1,60.00,0
1,199.00,60
1,80.00,1
2,250.00,15
2,125.00,102
1,160.00,35
2,190.00,43
1,145.00,0
1,149.00,110
1,100.00,0
1,235.00,122
3,175.00,3
1,300.00,1
1,65.00,0
1,200.00,1
1,71.00,1
1,175.00,10
3,250.00,67
1,30.00,2
1,99.00,3
1,150.00,2
1,110.00,134
1,150.00,2
1,115.00,173
1,154.00,0
2,380.00,0
4,425.00,24
1,150.00,0
1,70.00,1
1,100.00,28
2,250.00,1
2,275.00,65
1,80.00,0
1,99.00,101
5,325.00,9
1,275.00,40
2,99.00,64
1,53.00,2
1,80.00,1
5,115.00,30
1,100.00,1
1,204.00,42
2,150.00,0
1,180.00,2
1,140.00,1
1,49.00,0
1,165.00,3
2,100.00,0
1,120.00,43
1,100.00,3
1,200.00,18
1,60.00,3
2,250.00,1
1,53.00,2
2,185.00,29
2,100.00,3
1,150.00,3
1,80.00,1
3,545.00,13
1,220.00,8
2,228.00,50
2,165.00,2
3,400.00,13
1,69.00,1
4,250.00,0
1,120.00,43
1,300.00,7
1,59.00,10
1,120.00,1
2,150.00,4
1,135.00,41
1,75.00,1
1,90.00,8
1,175.00,11
2,150.00,2
5,400.00,29
2,125.00,2
2,150.00,43
2,259.00,3
2,395.00,110
1,130.00,0
1,70.00,0
1,140.00,97
1,97.00,0
1,64.00,2
1,100.00,0
1,100.00,36
1,150.00,9
1,185.00,21
1,90.00,1
1,130.00,13
1,3200.00,2
2,95.00,0
1,80.00,38
1,99.00,1
1,175.00,0
1,200.00,9
1,80.00,52
1,90.00,3
1,102.00,15
1,95.00,50
1,550.00,1
2,200.00,0
2,250.00,12
1,168.00,78
1,139.00,60
1,120.00,6
1,80.00,2
2,300.00,8
1,85.00,30
2,195.00,8
2,167.00,6
2,70.00,54
2,220.00,0
1,160.00,71
5,539.00,77
4,450.00,7
2,254.00,11
1,120.00,0
1,133.00,12
2,180.00,7
1,385.00,16
1,249.00,0
1,165.00,0
5,600.00,2
1,100.00,0
2,200.00,20
3,115.00,3
1,59.00,91
2,200.00,0
2,140.00,77
2,90.00,11
1,99.00,103
1,179.00,74
1,150.00,0
6,299.00,1
3,728.00,0
1,150.00,0
